sentence_id,source_id,juan_num,juan_label,paragraph_idx,sentence_idx,utterance_id,text_punctuated,text_plain,char_count,has_li,has_qi,li_qi_category,byline,headings
Z060739,卷一百十八#p049#s1,118,卷一百十八,49,1,卷一百十八#p049,"大凡學問,不可只理㑹一端。",大凡學問不可只理㑹一端,11,True,False,li_only,,"[{""level"": 2, ""text"": ""朱子十五""}, {""level"": 3, ""text"": ""訓門人六""}]"
Z062047,卷一百二十#p091#s1,120,卷一百二十,91,1,卷一百二十#p091,"郭叔雲問:""為學之初,在乎格物,物物有理,從何處下手?""曰:""人箇箇有知,不成都無知,但不能推而致之耳。",郭叔雲問為學之初在乎格物物物有理從何處下手曰人箇箇有知不成都無知但不能推而致之耳,40,True,False,li_only,"{""raw"": ""(恪/)""}","[{""level"": 2, ""text"": ""朱子十七""}, {""level"": 3, ""text"": ""訓門人八(雜訓諸門人/者為此卷)""}]"
Z059740,卷一百十六#p050#s7,116,卷一百十六,50,7,卷一百十六#p050,"未能博學,便要約禮,窮理處不曾用功,守約處豈免有差?若差之毫忽,便有不可勝言之弊。",未能博學便要約禮窮理處不曾用功守約處豈免有差若差之毫忽便有不可勝言之弊,35,True,False,li_only,,"[{""level"": 2, ""text"": ""朱子十三""}, {""level"": 3, ""text"": ""訓門人四""}]"
Z053878,卷九十八#p096#s17,98,卷九十八,96,17,卷九十八#p096,不知他同胞同與裏面)(便有箇理一分殊。,不知他同胞同與裏面便有箇理一分殊,16,True,False,li_only,,"[{""level"": 2, ""text"": ""張子書之一(凡入近思/者為此卷)""}]"
Z003817,卷九#p051#s2,9,卷九,51,2,卷九#p051,"曹問:""有可一底道理否?""曰:""多見後自然貫。",曹問有可一底道理否曰多見後自然貫,16,True,False,li_only,"{""raw"": ""(卓/)""}","[{""level"": 2, ""text"": ""學三""}, {""level"": 3, ""text"": ""論知行""}]"
Z012800,卷二十四#p048#s4,24,卷二十四,48,4,卷二十四#p048,"若温習舊聞,則義理日通,無有窮已。",若温習舊聞則義理日通無有窮已,14,True,False,li_only,"{""raw"": ""(賀孫/)""}","[{""level"": 2, ""text"": ""論語六""}, {""level"": 3, ""text"": ""為政篇下""}, {""level"": 4, ""text"": ""吾與回言章""}, {""level"": 4, ""text"": ""視其所以章""}, {""level"": 4, ""text"": ""温故而知新章""}, {""level"": 4, ""text"": ""君子不器章""}, {""level"": 4, ""text"": ""子貢問君子章""}, {""level"": 4, ""text"": ""君子周而不比章""}, {""level"": 4, ""text"": ""學而不思章""}, {""level"": 4, ""text"": ""攻乎異端章""}, {""level"": 4, ""text"": ""由誨女知之章""}, {""level"": 4, ""text"": ""子張學干禄章""}, {""level"": 4, ""text"": ""哀公問何為則民服章""}, {""level"": 4, ""text"": ""季康子問使民敬忠以勸章""}, {""level"": 4, ""text"": ""或謂子奚不為政章""}, {""level"": 4, ""text"": ""人而無信章""}, {""level"": 4, ""text"": ""子張問十世可知章""}, {""level"": 4, ""text"": ""非其鬼而祭之章""}]"
Z043282,卷七十九#p026#s3,79,卷七十九,26,3,卷七十九#p026,"""又問:""或有不如此者,何也?""曰:""福善禍淫,其常理也。",又問或有不如此者何也曰福善禍淫其常理也,19,True,False,li_only,,"[{""level"": 2, ""text"": ""尚書二""}, {""level"": 3, ""text"": ""禹貢""}, {""level"": 3, ""text"": ""𦙍征""}, {""level"": 3, ""text"": ""湯誓""}, {""level"": 3, ""text"": ""仲虺之誥""}, {""level"": 3, ""text"": ""湯誓""}, {""level"": 3, ""text"": ""總説伊訓太甲説命""}, {""level"": 3, ""text"": ""伊訓""}, {""level"": 3, ""text"": ""太甲""}, {""level"": 3, ""text"": ""咸有一徳""}, {""level"": 3, ""text"": ""説命""}, {""level"": 3, ""text"": ""西伯戡黎""}, {""level"": 3, ""text"": ""泰誓""}, {""level"": 3, ""text"": ""武成""}, {""level"": 3, ""text"": ""洪範""}, {""level"": 3, ""text"": ""旅獒""}, {""level"": 3, ""text"": ""金縢""}, {""level"": 3, ""text"": ""大誥""}, {""level"": 3, ""text"": ""總論康誥梓材""}, {""level"": 3, ""text"": ""康誥""}, {""level"": 3, ""text"": ""酒誥""}, {""level"": 3, ""text"": ""梓材""}, {""level"": 3, ""text"": ""召誥洛誥""}, {""level"": 3, ""text"": ""無逸""}, {""level"": 3, ""text"": ""君奭""}, {""level"": 3, ""text"": ""多方""}, {""level"": 3, ""text"": ""立政""}, {""level"": 3, ""text"": ""周官""}, {""level"": 3, ""text"": ""顧命康王之誥""}, {""level"": 3, ""text"": ""君牙""}, {""level"": 3, ""text"": ""冏命""}, {""level"": 3, ""text"": ""呂刑""}, {""level"": 3, ""text"": ""秦誓費誓""}]"
Z064377,卷一百二十六#p052#s9,126,卷一百二十六,52,9,卷一百二十六#p052,"聖人則視有視之理,聽有聽之理,言有言之理,動有動之理,思有思之理,如箕子所謂'明聰從恭睿'是也。",聖人則視有視之理聽有聽之理言有言之理動有動之理思有思之理如箕子所謂明聰從恭睿是也,40,True,False,li_only,,"[{""level"": 3, ""text"": ""釋氏""}]"
Z011700,卷二十二#p095#s1,22,卷二十二,95,1,卷二十二#p095,"信近於義章,疑上三句是工夫言如能近義,則有可復言之理否?""曰:""然。",信近於義章疑上三句是工夫言如能近義則有可復言之理否曰然,27,True,False,li_only,"{""raw"": ""(也伯羽/)""}","[{""level"": 2, ""text"": ""論語四""}, {""level"": 3, ""text"": ""學而篇下""}, {""level"": 4, ""text"": ""慎終追逺章""}, {""level"": 4, ""text"": ""夫子至於是邦章""}, {""level"": 4, ""text"": ""父在觀其志章""}, {""level"": 4, ""text"": ""禮之用和為貴章""}, {""level"": 4, ""text"": ""信近於義章""}, {""level"": 4, ""text"": ""君子食無求飽章""}, {""level"": 4, ""text"": ""貧而無諂章""}, {""level"": 4, ""text"": ""不患人之不己知章""}]"
Z008512,卷十七#p031#s1,17,卷十七,31,1,卷十七#p031,"仁甫問以其義理精㣲之極,有不可得而名者,故姑以至善目之曰:""此是程先生說至善,便如今人說極是。",仁甫問以其義理精㣲之極有不可得而名者故姑以至善目之曰此是程先生說至善便如今人說極是,41,True,False,li_only,"{""raw"": ""(賀孫/)""}","[{""level"": 2, ""text"": ""大學四(或問上/)""}, {""level"": 3, ""text"": ""或問吾子以為大人之學一叚""}, {""level"": 3, ""text"": ""此篇所謂在明明徳一叚""}, {""level"": 3, ""text"": ""知止而後有定以下一叚""}, {""level"": 3, ""text"": ""古之欲明明徳扵天下一叚""}, {""level"": 3, ""text"": ""治國平天下者諸侯之事一叚""}, {""level"": 2, ""text"": ""傳一章""}, {""level"": 3, ""text"": ""然則其曰克明徳一叚""}, {""level"": 3, ""text"": ""顧諟天之明命一叚""}, {""level"": 3, ""text"": ""是三者固皆自明之事一叚""}, {""level"": 2, ""text"": ""傳二章""}, {""level"": 3, ""text"": ""或問盤之有銘一叚""}, {""level"": 2, ""text"": ""傳三章""}, {""level"": 3, ""text"": ""復引淇澳之詩一叚""}]"
Z063127,卷一百二十三#p002#s8,123,卷一百二十三,2,8,卷一百二十三#p002,"子静只是人未從他,便不説,及鈎致得來,便直是説,方始與你理㑹。",子静只是人未從他便不説及鈎致得來便直是説方始與你理㑹,26,True,False,li_only,"{""raw"": ""(賀孫/)""}","[{""level"": 3, ""text"": ""陳君舉(陳同父葉/正則附)""}]"
Z062159,卷一百二十#p113#s2,120,卷一百二十,113,2,卷一百二十#p113,"且逐段看,令分曉,一段分曉,又看一段,如此至一二十段,亦未解便見箇道理。",且逐段看令分曉一段分曉又看一段如此至一二十段亦未解便見箇道理,30,True,False,li_only,"{""raw"": ""(必大/)""}","[{""level"": 2, ""text"": ""朱子十七""}, {""level"": 3, ""text"": ""訓門人八(雜訓諸門人/者為此卷)""}]"
Z003876,卷九#p070#s1,9,卷九,70,1,卷九#p070,"道理有面前底道理,平易自在,説出来底便好,説得出來﨑嶇底便不好。",道理有面前底道理平易自在説出来底便好説得出來﨑嶇底便不好,28,True,False,li_only,"{""raw"": ""(節/)""}","[{""level"": 2, ""text"": ""學三""}, {""level"": 3, ""text"": ""論知行""}]"
Z033018,卷六十四#p028#s6,64,卷六十四,28,6,卷六十四#p028,"聖人不思不勉而從容中道,無非實理之流行,則聖人與天如一,即天之道也。",聖人不思不勉而從容中道無非實理之流行則聖人與天如一即天之道也,30,True,False,li_only,"{""raw"": ""(銖/)""}","[{""level"": 2, ""text"": ""中庸三""}, {""level"": 3, ""text"": ""第二十章""}, {""level"": 3, ""text"": ""第二十一章""}, {""level"": 3, ""text"": ""第二十二章""}, {""level"": 3, ""text"": ""第二十三章""}, {""level"": 3, ""text"": ""第二十四章""}, {""level"": 3, ""text"": ""第二十五章""}, {""level"": 3, ""text"": ""第二十六章""}, {""level"": 3, ""text"": ""第二十七章""}, {""level"": 3, ""text"": ""第二十八章""}, {""level"": 3, ""text"": ""第二十九章""}, {""level"": 3, ""text"": ""第三十章""}, {""level"": 3, ""text"": ""第三十一章""}, {""level"": 3, ""text"": ""第三十二章""}, {""level"": 3, ""text"": ""第三十三章""}]"
Z017086,卷三十一#p019#s4,31,卷三十一,19,4,卷三十一#p019,"""問:""莫是心與理合而為一?""曰:""不是合,心自是仁。",問莫是心與理合而為一曰不是合心自是仁,18,True,False,li_only,"{""raw"": ""(節/)""}","[{""level"": 2, ""text"": ""論語十三""}, {""level"": 3, ""text"": ""雍也篇二""}, {""level"": 4, ""text"": ""子華使於齊章""}, {""level"": 4, ""text"": ""子謂仲弓章""}, {""level"": 4, ""text"": ""子曰回也章""}, {""level"": 4, ""text"": ""季康子問仲由章""}, {""level"": 4, ""text"": ""季氏使閔子騫為費宰章""}, {""level"": 4, ""text"": ""伯牛有疾章""}, {""level"": 4, ""text"": ""賢哉回也章""}]"
