sentence_id,source_id,juan_num,juan_label,paragraph_idx,sentence_idx,utterance_id,text_punctuated,text_plain,char_count,has_li,has_qi,li_qi_category,byline,headings
Z010823,卷二十一#p028#s3,21,卷二十一,28,3,卷二十一#p028,"""又問:""忠是人心實理,於事父謂之孝,處朋友謂之信,獨於事君謂之忠,何也?""曰:""父子、兄弟、朋友,皆是分義相親,至於事君,則分際甚嚴,人每若有不得已之意,非有出於忠心之誠者,故聖人以事君盡忠言之。",又問忠是人心實理於事父謂之孝處朋友謂之信獨於事君謂之忠何也曰父子兄弟朋友皆是分義相親至於事君則分際甚嚴人每若有不得已之意非有出於忠心之誠者故聖人以事君盡忠言之,79,True,False,li_only,"{""raw"": ""(卓/)""}","[{""level"": 2, ""text"": ""論語三""}, {""level"": 3, ""text"": ""學而篇中""}, {""level"": 4, ""text"": ""曽子曰吾日三省吾身章""}, {""level"": 4, ""text"": ""道千乘之國章""}, {""level"": 4, ""text"": ""弟子入則孝章""}, {""level"": 4, ""text"": ""賢賢易色章""}, {""level"": 4, ""text"": ""君子不重則不威章""}]"
Z002620,卷六#p008#s1,6,卷六,8,1,卷六#p008,"問:""既是一理,又謂五常,何也?""曰:""謂之一理亦可,五理亦可。",問既是一理又謂五常何也曰謂之一理亦可五理亦可,22,True,False,li_only,"{""raw"": ""(節/)""}","[{""level"": 2, ""text"": ""性理三""}, {""level"": 3, ""text"": ""仁義禮智等名義""}]"
Z034386,卷六十六#p020#s24,66,卷六十六,20,24,卷六十六#p020,"若曉得某一人說,則曉得伏羲、文王之《易,本是作如此用,元未有許多道理在,方不失《易》之本意。",若曉得某一人說則曉得伏羲文王之易本是作如此用元未有許多道理在方不失易之本意,37,True,False,li_only,,"[{""level"": 2, ""text"": ""易二""}, {""level"": 3, ""text"": ""綱領中""}, {""level"": 4, ""text"": ""卜筮""}, {""level"": 4, ""text"": ""象""}]"
Z030967,卷六十一#p048#s7,61,卷六十一,48,7,卷六十一#p048,"可者天理也,不可者,人欲也。",可者天理也不可者人欲也,11,True,False,li_only,"{""raw"": ""(謨○/集義)""}","[{""level"": 2, ""text"": ""孟子十一""}, {""level"": 3, ""text"": ""盡心下""}, {""level"": 4, ""text"": ""盡信書章""}, {""level"": 4, ""text"": ""舜之飯糗茹草章""}, {""level"": 4, ""text"": ""好名之人章""}, {""level"": 4, ""text"": ""民為貴章""}, {""level"": 4, ""text"": ""仁也者人也章""}, {""level"": 4, ""text"": ""貉稽曰章""}, {""level"": 4, ""text"": ""口之於味也章""}, {""level"": 4, ""text"": ""浩生不害問曰章""}, {""level"": 4, ""text"": ""逃墨必歸於楊章""}, {""level"": 4, ""text"": ""盆成括仕於齊章""}, {""level"": 4, ""text"": ""人皆有所不忍章""}, {""level"": 4, ""text"": ""言近而指逺章""}, {""level"": 4, ""text"": ""堯舜性者也章""}, {""level"": 4, ""text"": ""說大人則藐之章""}, {""level"": 4, ""text"": ""養心莫善於寡欲章""}, {""level"": 4, ""text"": ""曾晢嗜羊棗章""}, {""level"": 4, ""text"": ""萬章問孔子在陳章""}, {""level"": 4, ""text"": ""由堯舜至於湯章""}]"
Z028153,卷五十六#p046#s1,56,卷五十六,46,1,卷五十六#p046,"問:""性中雖具四端五常,其實只是一理。",問性中雖具四端五常其實只是一理,15,True,False,li_only,"{""raw"": ""(柄/)""}","[{""level"": 2, ""text"": ""孟子六""}, {""level"": 3, ""text"": ""離婁上""}, {""level"": 4, ""text"": ""離婁之明章""}, {""level"": 4, ""text"": ""規矩方圓之至章""}, {""level"": 4, ""text"": ""三代之得天下章""}, {""level"": 4, ""text"": ""愛人不親章""}, {""level"": 4, ""text"": ""為政不難章""}, {""level"": 4, ""text"": ""天下有道章""}, {""level"": 4, ""text"": ""自暴者章""}, {""level"": 4, ""text"": ""居下位章""}, {""level"": 4, ""text"": ""伯夷辟紂章""}, {""level"": 4, ""text"": ""求也為季氏宰章""}, {""level"": 4, ""text"": ""恭者不侮人章""}, {""level"": 4, ""text"": ""淳于髠曰章""}, {""level"": 4, ""text"": ""人不足與適章""}, {""level"": 4, ""text"": ""人之患章""}, {""level"": 4, ""text"": ""孟子謂樂正子曰章""}, {""level"": 4, ""text"": ""仁之實章""}, {""level"": 4, ""text"": ""天下大悦章""}]"
Z015327,卷二十七#p102#s7,27,卷二十七,102,7,卷二十七#p102,"夢子善云:""初曉忠者天道,恕者人道,不得後畧曉得,因以二句解之云:""天道是自然之理具,人道是自然之理行。",夢子善云初曉忠者天道恕者人道不得後畧曉得因以二句解之云天道是自然之理具人道是自然之理行,43,True,False,li_only,"{""raw"": ""(賀孫/)""}","[{""level"": 2, ""text"": ""論語九""}, {""level"": 3, ""text"": ""里仁篇下""}, {""level"": 4, ""text"": ""子曰參乎章""}, {""level"": 4, ""text"": ""君子喻於義章""}, {""level"": 4, ""text"": ""見賢思齊焉章""}, {""level"": 4, ""text"": ""事父母幾諫章""}, {""level"": 4, ""text"": ""父母在章""}, {""level"": 4, ""text"": ""父母之年章""}, {""level"": 3, ""text"": ""古者言之不出章""}, {""level"": 4, ""text"": ""以約失之章""}, {""level"": 4, ""text"": ""君子欲訥於言章""}, {""level"": 4, ""text"": ""徳不孤章""}, {""level"": 4, ""text"": ""事君數章""}]"
Z009795,卷十九#p081#s3,19,卷十九,81,3,卷十九#p081,"如《語孟集義》中所載諸先生語,須是熟讀,一一記放心下,時時將來玩味,久久自然理㑹得。",如語孟集義中所載諸先生語須是熟讀一一記放心下時時將來玩味久久自然理㑹得,35,True,False,li_only,"{""raw"": ""(廣/)""}","[{""level"": 2, ""text"": ""論語一""}, {""level"": 3, ""text"": ""語孟綱領""}]"
Z008711,卷十七#p059#s7,17,卷十七,59,7,卷十七#p059,"道夫云:""所以《或問》中有始終條理之别也,良為此爾。",道夫云所以或問中有始終條理之别也良為此爾,20,True,False,li_only,"{""raw"": ""(道夫/)""}","[{""level"": 2, ""text"": ""大學四(或問上/)""}, {""level"": 3, ""text"": ""或問吾子以為大人之學一叚""}, {""level"": 3, ""text"": ""此篇所謂在明明徳一叚""}, {""level"": 3, ""text"": ""知止而後有定以下一叚""}, {""level"": 3, ""text"": ""古之欲明明徳扵天下一叚""}, {""level"": 3, ""text"": ""治國平天下者諸侯之事一叚""}, {""level"": 2, ""text"": ""傳一章""}, {""level"": 3, ""text"": ""然則其曰克明徳一叚""}, {""level"": 3, ""text"": ""顧諟天之明命一叚""}, {""level"": 3, ""text"": ""是三者固皆自明之事一叚""}, {""level"": 2, ""text"": ""傳二章""}, {""level"": 3, ""text"": ""或問盤之有銘一叚""}, {""level"": 2, ""text"": ""傳三章""}, {""level"": 3, ""text"": ""復引淇澳之詩一叚""}]"
Z058544,卷一百十三#p032#s20,113,卷一百十三,32,20,卷一百十三#p032,"""爾湏是平時精考後躬行之,使凡一言一行,皆出乎此理,則這邉自重。",爾湏是平時精考後躬行之使凡一言一行皆出乎此理則這邉自重,27,True,False,li_only,,"[{""level"": 2, ""text"": ""朱子十""}, {""level"": 3, ""text"": ""訓門人一""}]"
Z003311,卷八#p012#s1,8,卷八,12,1,卷八#p012,"這箇道理,各自有地頭,不可只就一面説。",這箇道理各自有地頭不可只就一面説,16,True,False,li_only,"{""raw"": ""(僴/)""}","[{""level"": 2, ""text"": ""學二""}, {""level"": 3, ""text"": ""總論為學之方""}]"
